Area,School_Type,Total_School,Total_People,Male,Femal,Year
"Flensburg, kreisfreie Stadt",Grundschulen,16.0,2722.0,1322.0,156.0,2012
"Kiel, Landeshauptstadt, kreisfreie Stadt",Grundschulen,34.0,7168.0,3408.0,445.0,2012
"Lübeck, Hansestadt, kreisfreie Stadt",Grundschulen,36.0,6784.0,3348.0,274.0,2012
"Neumünster, kreisfreie Stadt",Grundschulen,12.0,2711.0,1300.0,260.0,2012
"Dithmarschen, Landkreis",Grundschulen,28.0,4871.0,2413.0,117.0,2012
"Herzogtum Lauenburg, Landkreis",Grundschulen,28.0,7222.0,3466.0,204.0,2012
"Nordfriesland, Landkreis",Grundschulen,52.0,6238.0,3005.0,179.0,2012
"Ostholstein, Landkreis",Grundschulen,28.0,6619.0,3186.0,89.0,2012
"Pinneberg, Landkreis",Grundschulen,57.0,11264.0,5416.0,441.0,2012
"Plön, Landkreis",Grundschulen,23.0,4502.0,2199.0,75.0,2012
"Rendsburg-Eckernförde, Landkreis",Grundschulen,58.0,10091.0,4866.0,235.0,2012
"Schleswig-Flensburg, Landkreis",Grundschulen,63.0,7602.0,3708.0,187.0,2012
"Segeberg, Landkreis",Grundschulen,47.0,9831.0,4743.0,235.0,2012
"Steinburg, Landkreis",Grundschulen,27.0,4717.0,2329.0,74.0,2012
"Stormarn, Landkreis",Grundschulen,35.0,8743.0,4192.0,172.0,2012
Hamburg,Grundschulen,221.0,52664.0,25885.0,4345.0,2012
"Braunschweig, kreisfreie Stadt",Grundschulen,43.0,7871.0,3886.0,735.0,2012
"Salzgitter, kreisfreie Stadt",Grundschulen,18.0,3579.0,1696.0,561.0,2012
"Wolfsburg, kreisfreie Stadt",Grundschulen,23.0,4249.0,2066.0,519.0,2012
"Gifhorn, Landkreis",Grundschulen,42.0,6785.0,3314.0,234.0,2012
"Göttingen, Landkreis",Grundschulen,62.0,8217.0,4097.0,463.0,2012
"Goslar, Landkreis",Grundschulen,34.0,4003.0,1959.0,239.0,2012
"Helmstedt, Landkreis",Grundschulen,18.0,2815.0,1342.0,110.0,2012
"Northeim, Landkreis",Grundschulen,30.0,4461.0,2129.0,216.0,2012
"Osterode am Harz, Landkreis",Grundschulen,20.0,2331.0,1125.0,73.0,2012
"Peine, Landkreis",Grundschulen,29.0,5097.0,2493.0,208.0,2012
"Wolfenbüttel, Landkreis",Grundschulen,26.0,4261.0,2049.0,121.0,2012
"Region Hannover, Landkreis",Grundschulen,184.0,38431.0,18922.0,3815.0,2012
"Hannover, Landeshauptstadt",Grundschulen,62.0,16666.0,8117.0,1997.0,2012
"Diepholz, Landkreis",Grundschulen,45.0,7880.0,3821.0,321.0,2012
"Hameln-Pyrmont, Landkreis",Grundschulen,40.0,5232.0,2616.0,305.0,2012
"Hildesheim, Landkreis",Grundschulen,58.0,9718.0,4741.0,622.0,2012
"Holzminden, Landkreis",Grundschulen,20.0,2396.0,1159.0,138.0,2012
"Nienburg (Weser), Landkreis",Grundschulen,34.0,4642.0,2310.0,304.0,2012
"Schaumburg, Landkreis",Grundschulen,26.0,5687.0,2753.0,495.0,2012
"Celle, Landkreis",Grundschulen,38.0,6912.0,3451.0,233.0,2012
"Cuxhaven, Landkreis",Grundschulen,49.0,7318.0,3524.0,451.0,2012
"Harburg, Landkreis",Grundschulen,46.0,9583.0,4619.0,468.0,2012
"Lüchow-Dannenberg, Landkreis",Grundschulen,19.0,1770.0,844.0,35.0,2012
"Lüneburg, Landkreis",Grundschulen,37.0,6901.0,3397.0,261.0,2012
"Osterholz, Landkreis",Grundschulen,32.0,4345.0,2084.0,182.0,2012
"Rotenburg (Wümme), Landkreis",Grundschulen,42.0,6668.0,3195.0,324.0,2012
"Heidekreis, Landkreis",Grundschulen,30.0,5253.0,2537.0,342.0,2012
"Stade, Landkreis",Grundschulen,44.0,7754.0,3887.0,252.0,2012
"Uelzen, Landkreis",Grundschulen,23.0,3339.0,1613.0,126.0,2012
"Verden, Landkreis",Grundschulen,29.0,5177.0,2553.0,293.0,2012
"Delmenhorst, kreisfreie Stadt",Grundschulen,14.0,2768.0,1266.0,238.0,2012
"Emden, kreisfreie Stadt",Grundschulen,11.0,1828.0,917.0,104.0,2012
"Oldenburg (Oldenburg), kreisfreie Stadt",Grundschulen,29.0,5476.0,2681.0,464.0,2012
"Osnabrück, kreisfreie Stadt",Grundschulen,28.0,5098.0,2544.0,554.0,2012
"Wilhelmshaven, kreisfreie Stadt",Grundschulen,13.0,2276.0,1150.0,204.0,2012
"Ammerland, Landkreis",Grundschulen,28.0,4806.0,2357.0,214.0,2012
"Aurich, Landkreis",Grundschulen,52.0,7396.0,3565.0,314.0,2012
"Cloppenburg, Landkreis",Grundschulen,49.0,7591.0,3715.0,300.0,2012
"Emsland, Landkreis",Grundschulen,110.0,13128.0,6504.0,614.0,2012
"Friesland, Landkreis",Grundschulen,30.0,3457.0,1687.0,92.0,2012
"Grafschaft Bentheim, Landkreis",Grundschulen,33.0,5557.0,2740.0,494.0,2012
"Leer, Landkreis",Grundschulen,50.0,6332.0,3140.0,393.0,2012
"Oldenburg, Landkreis",Grundschulen,30.0,5239.0,2490.0,244.0,2012
"Osnabrück, Landkreis",Grundschulen,86.0,14667.0,7257.0,623.0,2012
"Vechta, Landkreis",Grundschulen,34.0,6033.0,2962.0,448.0,2012
