district,total_infection,infection_incidence_rlp,infection_incidence_yr_0_11,infection_incidence_days_yr_12_19,infection_incidence_yr_20_59,infection_incidence_yr_60_above,hospitalized,total_covid19,covid19_incidence_rlp,covid19_incidence_yr_0_11,covid19_incidence_days_yr_12_19,covid19_incidence_yr_20_59,covid19_incidence_yr_60_above,deceased,Week_Number
Rheinland-Pfalz,2297,56.04638671875,113.36734008789062,111.07960510253906,57.26460266113281,19.207406997680664,42,23,0.5559308528900146,0.22228890657424927,0.667144775390625,0.6571347713470459,0.49249762296676636,61,2021KW39
VG Mittelrhein-Westerwald,492,39.00879669189453,86.96478271484375,77.23001861572266,38.23872756958008,14.01698112487793,13,5,0.3964182734489441,0.7307965159416199,0,0.46443799138069153,0.25957372784614563,22,2021KW39
Ahrweiler,39,29.889867782592773,101.78117370605469,55.4815788269043,24.659391403198242,9.33968448638916,0,0,0,0,0,0,0,3,2021KW39
Altenkirchen,50,38.73356628417969,56.02633285522461,41.04248046875,50.246665954589844,12.694866180419922,1,1,0.7746713161468506,0,0,1.522626280784607,0,3,2021KW39
Cochem-Zell,9,14.615609169006348,0,0,29.371450424194336,0,0,0,0,0,0,0,0,6,2021KW39
KS Koblenz,44,38.804813385009766,60.63230895996094,94.6329574584961,44.81864547729492,6.255473613739014,1,1,0.8819275498390198,0,0,1.6006659269332886,0,4,2021KW39
Mayen-Koblenz,65,30.262680053710938,46.450740814208984,62.629173278808594,30.785388946533203,15.45690631866455,3,2,0.9311593770980835,4.222794532775879,0,0,1.545690655708313,0,2021KW39
Neuwied,87,47.50697708129883,105.7895736694336,126.05924987792969,41.04203414916992,16.225570678710938,2,0,0,0,0,0,0,0,2021KW39
Rhein-Hunsrück,67,64.79627990722656,116.95906066894531,168.4810791015625,61.46989822387695,27.682086944580078,1,0,0,0,0,0,0,0,2021KW39
Rhein-Lahn,48,39.16001892089844,76.42922973632812,33.70786666870117,43.667415618896484,20.64036750793457,4,1,0.8158336877822876,0,0,1.617311716079712,0,1,2021KW39
Westerwaldkreis,83,40.92096710205078,150.32275390625,76.48670959472656,28.477317810058594,11.829119682312012,1,0,0,0,0,0,0,5,2021KW39
