City,Total_Death,Under 1 Year,1 to under 15 years,15 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years,40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 year and Above ,Year
"Flensburg, kreisfreie Stadt",982.0,2.0,0.0,1.0,2.0,1.0,7.0,10.0,19.0,37.0,53.0,46.0,79.0,107.0,126.0,138.0,354.0,2012
"Kiel, Landeshauptstadt, kreisfreie Stadt",2421.0,11.0,5.0,9.0,8.0,10.0,10.0,19.0,43.0,79.0,98.0,128.0,163.0,279.0,300.0,353.0,906.0,2012
"Lübeck, Hansestadt, kreisfreie Stadt",2634.0,5.0,1.0,7.0,7.0,10.0,14.0,19.0,47.0,57.0,104.0,138.0,191.0,302.0,338.0,385.0,1009.0,2012
"Neumünster, kreisfreie Stadt",895.0,4.0,3.0,4.0,3.0,0.0,2.0,16.0,16.0,25.0,35.0,54.0,64.0,105.0,118.0,140.0,306.0,2012
"Dithmarschen, Landkreis",1644.0,3.0,6.0,3.0,1.0,5.0,5.0,12.0,30.0,41.0,68.0,79.0,126.0,209.0,248.0,235.0,573.0,2012
"Herzogtum Lauenburg, Landkreis",2052.0,3.0,1.0,11.0,3.0,6.0,3.0,19.0,34.0,63.0,70.0,103.0,155.0,234.0,271.0,326.0,750.0,2012
"Nordfriesland, Landkreis",1817.0,4.0,4.0,7.0,7.0,3.0,4.0,27.0,34.0,48.0,68.0,87.0,124.0,241.0,244.0,302.0,613.0,2012
"Ostholstein, Landkreis",2599.0,1.0,1.0,4.0,3.0,10.0,8.0,16.0,51.0,63.0,80.0,142.0,177.0,324.0,353.0,414.0,952.0,2012
"Pinneberg, Landkreis",3242.0,10.0,5.0,9.0,6.0,4.0,6.0,22.0,51.0,85.0,105.0,137.0,238.0,361.0,470.0,585.0,1148.0,2012
"Plön, Landkreis",1437.0,1.0,4.0,3.0,0.0,4.0,3.0,7.0,15.0,44.0,50.0,71.0,85.0,181.0,186.0,236.0,547.0,2012
"Rendsburg-Eckernförde, Landkreis",2914.0,7.0,5.0,9.0,4.0,11.0,8.0,35.0,47.0,76.0,110.0,138.0,192.0,352.0,409.0,475.0,1036.0,2012
"Schleswig-Flensburg, Landkreis",2162.0,4.0,3.0,4.0,3.0,6.0,4.0,26.0,43.0,58.0,63.0,114.0,150.0,259.0,283.0,398.0,744.0,2012
"Segeberg, Landkreis",2587.0,8.0,3.0,11.0,3.0,6.0,15.0,27.0,53.0,77.0,104.0,133.0,191.0,334.0,348.0,423.0,851.0,2012
"Steinburg, Landkreis",1488.0,5.0,1.0,9.0,2.0,3.0,9.0,13.0,26.0,41.0,60.0,75.0,96.0,204.0,211.0,224.0,509.0,2012
"Stormarn, Landkreis",2569.0,6.0,3.0,4.0,4.0,3.0,16.0,21.0,44.0,67.0,85.0,113.0,191.0,290.0,343.0,414.0,965.0,2012
Hamburg,17012.0,62.0,14.0,37.0,36.0,57.0,82.0,182.0,314.0,489.0,616.0,900.0,1262.0,2010.0,2296.0,2649.0,6006.0,2012
"Braunschweig, kreisfreie Stadt",2781.0,9.0,2.0,5.0,3.0,16.0,10.0,23.0,37.0,78.0,79.0,141.0,178.0,330.0,343.0,427.0,1100.0,2012
"Salzgitter, kreisfreie Stadt",1249.0,7.0,1.0,4.0,2.0,2.0,5.0,10.0,24.0,38.0,52.0,75.0,74.0,159.0,172.0,218.0,406.0,2012
"Wolfsburg, kreisfreie Stadt",1380.0,6.0,2.0,3.0,2.0,2.0,5.0,13.0,23.0,43.0,46.0,69.0,83.0,167.0,205.0,248.0,463.0,2012
"Gifhorn, Landkreis",1581.0,10.0,3.0,9.0,1.0,7.0,10.0,14.0,33.0,51.0,74.0,91.0,92.0,178.0,216.0,249.0,543.0,2012
"Göttingen, Landkreis",2638.0,5.0,6.0,6.0,5.0,5.0,7.0,21.0,33.0,60.0,92.0,145.0,154.0,266.0,342.0,446.0,1045.0,2012
"Goslar, Landkreis",1943.0,3.0,2.0,5.0,7.0,2.0,8.0,11.0,22.0,60.0,62.0,106.0,102.0,208.0,279.0,327.0,739.0,2012
"Helmstedt, Landkreis",1223.0,0.0,0.0,8.0,1.0,5.0,6.0,16.0,23.0,25.0,47.0,59.0,90.0,141.0,158.0,214.0,430.0,2012
"Northeim, Landkreis",1816.0,7.0,2.0,7.0,6.0,6.0,3.0,13.0,25.0,40.0,73.0,96.0,104.0,175.0,260.0,328.0,671.0,2012
"Osterode am Harz, Landkreis",1142.0,1.0,0.0,4.0,3.0,5.0,2.0,7.0,14.0,29.0,36.0,55.0,73.0,155.0,138.0,205.0,415.0,2012
"Peine, Landkreis",1494.0,4.0,6.0,2.0,2.0,8.0,5.0,11.0,19.0,42.0,54.0,84.0,88.0,162.0,175.0,256.0,576.0,2012
"Wolfenbüttel, Landkreis",1338.0,2.0,0.0,5.0,1.0,6.0,6.0,10.0,27.0,24.0,46.0,79.0,88.0,149.0,163.0,228.0,504.0,2012
"Region Hannover, Landkreis",11879.0,26.0,13.0,36.0,26.0,33.0,38.0,96.0,234.0,311.0,447.0,592.0,776.0,1371.0,1617.0,1975.0,4288.0,2012
"Hannover, Landeshauptstadt",5411.0,17.0,4.0,15.0,11.0,18.0,23.0,58.0,122.0,147.0,200.0,269.0,352.0,586.0,694.0,845.0,2050.0,2012
"Diepholz, Landkreis",2308.0,5.0,4.0,17.0,6.0,6.0,6.0,23.0,34.0,74.0,84.0,101.0,144.0,248.0,342.0,401.0,813.0,2012
"Hameln-Pyrmont, Landkreis",2028.0,5.0,2.0,7.0,1.0,4.0,6.0,7.0,32.0,56.0,61.0,93.0,121.0,205.0,291.0,392.0,745.0,2012
"Hildesheim, Landkreis",3375.0,10.0,3.0,13.0,5.0,12.0,15.0,21.0,56.0,101.0,122.0,163.0,200.0,357.0,483.0,610.0,1204.0,2012
"Holzminden, Landkreis",1073.0,2.0,2.0,2.0,2.0,1.0,3.0,6.0,11.0,26.0,34.0,34.0,59.0,129.0,162.0,196.0,404.0,2012
"Nienburg (Weser), Landkreis",1482.0,1.0,4.0,2.0,2.0,2.0,6.0,11.0,27.0,47.0,59.0,68.0,87.0,172.0,196.0,262.0,536.0,2012
"Schaumburg, Landkreis",2083.0,3.0,3.0,6.0,4.0,2.0,4.0,13.0,30.0,49.0,58.0,89.0,106.0,224.0,276.0,347.0,869.0,2012
"Celle, Landkreis",2052.0,5.0,1.0,5.0,5.0,7.0,6.0,15.0,37.0,53.0,76.0,111.0,133.0,217.0,257.0,334.0,790.0,2012
"Cuxhaven, Landkreis",2593.0,4.0,3.0,3.0,5.0,2.0,5.0,21.0,32.0,54.0,75.0,124.0,158.0,299.0,396.0,467.0,945.0,2012
"Harburg, Landkreis",2445.0,9.0,4.0,10.0,4.0,3.0,5.0,22.0,38.0,46.0,73.0,147.0,179.0,307.0,339.0,413.0,846.0,2012
"Lüchow-Dannenberg, Landkreis",652.0,1.0,0.0,2.0,2.0,2.0,3.0,8.0,10.0,11.0,22.0,27.0,35.0,79.0,87.0,115.0,248.0,2012
"Lüneburg, Landkreis",1763.0,6.0,2.0,3.0,4.0,11.0,8.0,15.0,42.0,64.0,59.0,85.0,121.0,215.0,255.0,290.0,583.0,2012
"Osterholz, Landkreis",1254.0,4.0,1.0,4.0,1.0,2.0,2.0,13.0,10.0,47.0,41.0,70.0,88.0,170.0,169.0,208.0,424.0,2012
"Rotenburg (Wümme), Landkreis",1613.0,4.0,6.0,3.0,9.0,4.0,6.0,14.0,31.0,51.0,65.0,88.0,76.0,178.0,225.0,304.0,549.0,2012
"Heidekreis, Landkreis",1634.0,3.0,2.0,10.0,3.0,4.0,3.0,9.0,20.0,49.0,52.0,90.0,107.0,185.0,243.0,259.0,595.0,2012
"Stade, Landkreis",2097.0,5.0,4.0,11.0,4.0,6.0,7.0,13.0,35.0,60.0,85.0,122.0,141.0,265.0,281.0,338.0,720.0,2012
"Uelzen, Landkreis",1258.0,2.0,1.0,2.0,3.0,2.0,8.0,12.0,25.0,39.0,50.0,52.0,80.0,126.0,170.0,214.0,472.0,2012
"Verden, Landkreis",1395.0,6.0,1.0,2.0,6.0,3.0,3.0,11.0,28.0,29.0,55.0,66.0,100.0,174.0,186.0,219.0,506.0,2012
"Delmenhorst, kreisfreie Stadt",766.0,2.0,0.0,1.0,2.0,1.0,2.0,13.0,11.0,19.0,36.0,42.0,49.0,113.0,125.0,121.0,229.0,2012
"Emden, kreisfreie Stadt",660.0,6.0,1.0,1.0,1.0,2.0,4.0,9.0,11.0,32.0,27.0,47.0,54.0,76.0,74.0,115.0,200.0,2012
"Oldenburg (Oldenburg), kreisfreie Stadt",1575.0,6.0,1.0,4.0,5.0,8.0,8.0,15.0,29.0,38.0,60.0,83.0,107.0,158.0,214.0,241.0,598.0,2012
"Osnabrück, kreisfreie Stadt",1630.0,8.0,1.0,7.0,3.0,8.0,7.0,20.0,23.0,33.0,61.0,78.0,104.0,177.0,214.0,284.0,602.0,2012
"Wilhelmshaven, kreisfreie Stadt",1064.0,6.0,2.0,3.0,4.0,1.0,5.0,11.0,22.0,27.0,51.0,68.0,69.0,101.0,140.0,163.0,391.0,2012
"Ammerland, Landkreis",1211.0,4.0,1.0,8.0,1.0,7.0,4.0,6.0,25.0,34.0,35.0,48.0,68.0,133.0,203.0,216.0,418.0,2012
"Aurich, Landkreis",2223.0,6.0,1.0,16.0,3.0,5.0,5.0,26.0,58.0,65.0,90.0,145.0,172.0,274.0,326.0,364.0,667.0,2012
"Cloppenburg, Landkreis",1437.0,6.0,3.0,8.0,2.0,6.0,7.0,15.0,19.0,45.0,73.0,79.0,79.0,178.0,224.0,284.0,409.0,2012
"Emsland, Landkreis",2835.0,2.0,2.0,22.0,8.0,11.0,11.0,29.0,53.0,90.0,124.0,156.0,165.0,340.0,395.0,520.0,907.0,2012
"Friesland, Landkreis",1205.0,0.0,2.0,3.0,2.0,4.0,4.0,9.0,13.0,28.0,42.0,63.0,88.0,152.0,160.0,217.0,418.0,2012
"Grafschaft Bentheim, Landkreis",1309.0,2.0,2.0,4.0,1.0,2.0,4.0,6.0,17.0,31.0,43.0,79.0,68.0,135.0,192.0,268.0,455.0,2012
"Leer, Landkreis",1879.0,7.0,2.0,4.0,3.0,8.0,6.0,16.0,36.0,41.0,68.0,104.0,103.0,226.0,284.0,371.0,600.0,2012
"Oldenburg, Landkreis",1263.0,5.0,2.0,5.0,2.0,2.0,5.0,13.0,14.0,34.0,55.0,63.0,75.0,167.0,175.0,238.0,408.0,2012
"Osnabrück, Landkreis",3524.0,9.0,1.0,14.0,6.0,12.0,9.0,31.0,67.0,88.0,128.0,177.0,168.0,405.0,482.0,659.0,1268.0,2012
"Vechta, Landkreis",1102.0,7.0,3.0,3.0,1.0,4.0,10.0,8.0,25.0,33.0,40.0,33.0,63.0,117.0,160.0,236.0,359.0,2012
"Wesermarsch, Landkreis",1124.0,3.0,1.0,2.0,5.0,1.0,2.0,11.0,17.0,34.0,42.0,72.0,81.0,122.0,147.0,214.0,370.0,2012
"Wittmund, Landkreis",664.0,2.0,0.0,0.0,2.0,1.0,5.0,3.0,9.0,17.0,23.0,41.0,39.0,86.0,96.0,129.0,211.0,2012
"Bremen, kreisfreie Stadt",6082.0,22.0,8.0,14.0,23.0,19.0,31.0,69.0,116.0,166.0,240.0,354.0,414.0,720.0,809.0,926.0,2151.0,2012
"Bremerhaven, kreisfreie Stadt",1405.0,2.0,1.0,4.0,4.0,4.0,2.0,10.0,26.0,41.0,68.0,102.0,114.0,178.0,171.0,238.0,440.0,2012
"Düsseldorf, kreisfreie Stadt",6073.0,22.0,7.0,4.0,14.0,23.0,35.0,62.0,116.0,193.0,217.0,303.0,405.0,726.0,871.0,996.0,2079.0,2012
"Duisburg, kreisfreie Stadt",6026.0,18.0,4.0,13.0,9.0,13.0,22.0,59.0,102.0,180.0,255.0,329.0,418.0,729.0,915.0,1132.0,1828.0,2012
"Essen, kreisfreie Stadt",7180.0,17.0,7.0,8.0,17.0,12.0,32.0,58.0,133.0,164.0,279.0,394.0,441.0,870.0,1024.0,1303.0,2421.0,2012
"Krefeld, kreisfreie Stadt",2664.0,8.0,2.0,7.0,7.0,10.0,13.0,18.0,63.0,64.0,105.0,140.0,188.0,324.0,367.0,469.0,879.0,2012
"Mönchengladbach, kreisfreie Stadt",2946.0,13.0,2.0,9.0,9.0,13.0,10.0,28.0,61.0,71.0,131.0,173.0,177.0,360.0,441.0,488.0,960.0,2012
"Mülheim an der Ruhr, kreisfreie Stadt",2141.0,3.0,0.0,5.0,3.0,2.0,8.0,14.0,27.0,54.0,86.0,115.0,137.0,240.0,311.0,391.0,745.0,2012
"Oberhausen, kreisfreie Stadt",2637.0,5.0,5.0,8.0,5.0,5.0,9.0,23.0,42.0,90.0,110.0,157.0,187.0,312.0,418.0,483.0,778.0,2012
"Remscheid, kreisfreie Stadt",1309.0,2.0,0.0,4.0,3.0,3.0,4.0,18.0,20.0,39.0,52.0,73.0,114.0,163.0,189.0,196.0,429.0,2012
"Solingen, kreisfreie Stadt",1868.0,6.0,2.0,5.0,1.0,3.0,3.0,20.0,28.0,50.0,65.0,85.0,118.0,228.0,268.0,305.0,681.0,2012
"Wuppertal, kreisfreie Stadt",4129.0,14.0,5.0,13.0,9.0,13.0,19.0,49.0,77.0,116.0,151.0,216.0,293.0,470.0,596.0,659.0,1429.0,2012
"Kleve, Kreis",3207.0,9.0,5.0,5.0,4.0,5.0,7.0,30.0,44.0,114.0,139.0,158.0,208.0,344.0,474.0,563.0,1098.0,2012
"Mettmann, Kreis",5669.0,11.0,5.0,9.0,7.0,18.0,14.0,48.0,99.0,147.0,199.0,277.0,376.0,664.0,836.0,1016.0,1943.0,2012
Rhein-Kreis Neuss,4558.0,14.0,7.0,13.0,4.0,8.0,17.0,44.0,90.0,116.0,163.0,214.0,280.0,607.0,701.0,796.0,1484.0,2012
"Viersen, Kreis",3208.0,8.0,5.0,11.0,4.0,8.0,13.0,33.0,54.0,74.0,126.0,154.0,205.0,386.0,444.0,599.0,1084.0,2012
"Wesel, Kreis",5153.0,12.0,10.0,24.0,5.0,6.0,20.0,40.0,120.0,131.0,204.0,274.0,325.0,543.0,796.0,968.0,1675.0,2012
"Bonn, kreisfreie Stadt",2904.0,18.0,3.0,12.0,8.0,11.0,17.0,22.0,45.0,67.0,102.0,107.0,186.0,295.0,339.0,499.0,1173.0,2012
"Köln, kreisfreie Stadt",9536.0,33.0,24.0,34.0,23.0,29.0,63.0,87.0,190.0,288.0,356.0,511.0,689.0,1137.0,1378.0,1549.0,3145.0,2012
"Leverkusen, kreisfreie Stadt",1691.0,2.0,2.0,6.0,3.0,2.0,10.0,17.0,33.0,45.0,60.0,71.0,116.0,225.0,253.0,308.0,538.0,2012
Städteregion Aachen (einschl. Stadt Aachen),5681.0,11.0,9.0,20.0,14.0,18.0,24.0,52.0,74.0,140.0,223.0,299.0,355.0,655.0,799.0,1065.0,1923.0,2012
"Aachen, krfr. Stadt",2316.0,3.0,4.0,10.0,8.0,10.0,12.0,23.0,30.0,48.0,85.0,128.0,144.0,281.0,317.0,415.0,798.0,2012
"Düren, Kreis",2790.0,11.0,2.0,12.0,5.0,9.0,7.0,17.0,45.0,69.0,103.0,162.0,156.0,312.0,412.0,548.0,920.0,2012
Rhein-Erft-Kreis,4805.0,14.0,3.0,8.0,9.0,7.0,20.0,41.0,72.0,112.0,194.0,262.0,318.0,624.0,668.0,886.0,1567.0,2012
"Euskirchen, Kreis",2100.0,3.0,4.0,8.0,5.0,10.0,10.0,14.0,42.0,65.0,85.0,113.0,146.0,236.0,277.0,360.0,722.0,2012
"Heinsberg, Kreis",2763.0,6.0,3.0,11.0,7.0,8.0,19.0,28.0,49.0,69.0,109.0,137.0,163.0,293.0,411.0,553.0,897.0,2012
Oberbergischer Kreis,3023.0,4.0,4.0,7.0,7.0,9.0,7.0,18.0,43.0,84.0,95.0,152.0,188.0,336.0,463.0,549.0,1057.0,2012
Rheinisch-Bergischer Kreis,2904.0,9.0,5.0,8.0,6.0,2.0,7.0,24.0,48.0,63.0,101.0,143.0,164.0,320.0,439.0,522.0,1043.0,2012
Rhein-Sieg-Kreis,5588.0,20.0,14.0,15.0,12.0,18.0,20.0,42.0,89.0,151.0,208.0,278.0,351.0,627.0,769.0,999.0,1975.0,2012
"Bottrop, kreisfreie Stadt",1355.0,5.0,0.0,2.0,3.0,2.0,7.0,10.0,22.0,42.0,58.0,74.0,84.0,168.0,197.0,278.0,403.0,2012
"Gelsenkirchen, kreisfreie Stadt",3361.0,9.0,11.0,8.0,11.0,10.0,19.0,29.0,70.0,131.0,152.0,190.0,207.0,391.0,481.0,603.0,1039.0,2012
