area,total_Person,Single_Person,Two_Person,Three_Person,Four_Person,Five_Person,Six_Person,couples_without_a_child,couples_with_a_child,single_parents,people_sharing_an_apartment
"Frankenthal Pfalz, St.",21517,7996,7303,3100,2035,686,397,6252,5309,1593,367
"Kaiserslautern, St.",50816,23910,15722,5947,3691,1073,473,12187,8828,4040,1851
"Koblenz, St.",55506,23892,18650,6672,4337,1316,639,14813,10520,4276,2005
"Landau i. d. Pf., St.",20716,8183,6820,2849,2001,592,271,5584,4515,1563,871
"Ludwigshafen a. Rh., St.",74310,29369,23928,10008,6853,2603,1549,19425,17408,6058,2050
"Mainz, St.",102528,47263,30875,12069,8137,2785,1399,24407,18970,5805,6083
"Neustadt a. d. Weinstr., St.",24621,9145,8494,3394,2520,765,303,7183,5828,1898,567
"Pirmasens, St.",20494,8683,6851,2750,1534,459,217,5469,3975,1925,442
"Speyer, St.",23234,8771,8030,3210,2170,685,368,6472,5249,2149,593
"Trier, St.",55711,27273,16106,6459,3954,1303,616,12548,9274,3682,2934
"Worms, St.",37125,14071,12509,5192,3618,1121,614,10312,8886,2987,869
"Zweibrücken, St.",15960,5748,5542,2464,1539,466,201,4506,3721,1572,413
"Bad Neuenahr-Ahrweiler, St.",13433,5540,4838,1513,1057,355,130,4162,2583,857,291
Grafschaft,4465,1110,1614,795,658,226,62,1435,1542,288,90
"Remagen, St.",7259,2667,2400,1027,736,284,145,2088,1890,431,183
"Sinzig, St.",7585,2483,2672,1081,940,305,104,2270,2097,600,135
"      Adenau, St.",1265,443,419,182,135,59,27,363,337,104,18
      Antweiler,245,68,81,31,41,12,12,63,81,27,6
      Aremberg,115,53,30,19,7,3,3,30,20,12,0
      Barweiler,183,48,58,21,32,18,6,46,74,12,3
      Bauler,28,11,3,7,0,7,0,3,11,3,0
      Dankerath,39,17,6,10,3,3,0,6,16,0,0
      Dorsel,98,27,38,15,12,3,3,38,27,3,3
      Dümpelfeld,288,72,127,50,23,9,7,121,74,18,3
      Eichenbach,46,15,22,3,6,0,0,15,6,7,3
      Fuchshofen,52,11,26,12,3,0,0,22,9,7,3
      Harscheid,58,19,24,9,6,0,0,27,12,0,0
      Herschbroich,108,21,50,22,6,3,6,48,27,12,0
      Hoffeld,143,54,47,21,12,6,3,46,36,7,0
      Honerath,68,14,28,16,7,3,0,28,23,3,0
      Hümmel,208,47,77,28,43,13,0,71,78,6,6
      Insul,185,46,46,30,34,25,4,48,78,13,0
      Kaltenborn,180,48,72,25,32,3,0,47,51,24,10
      Kottenborn,74,13,24,18,16,3,0,21,37,0,3
      Leimbach,218,61,70,57,27,0,3,66,81,6,4
      Meuspath,77,22,32,3,17,0,3,30,16,3,6
      Müllenbach,198,38,78,44,26,3,9,62,73,18,7
      Müsch,88,29,26,12,15,3,3,26,27,6,0
      Nürburg,68,27,9,16,10,3,3,12,20,9,0
      Ohlenhard,74,24,29,7,14,0,0,28,18,4,0
      Pomster,73,26,22,13,3,6,3,19,22,6,0
      Quiddelbach,110,22,50,26,6,6,0,50,32,3,3
      Reifferscheid,222,59,64,34,39,19,7,50,87,23,3
      Rodder,105,28,23,34,14,3,3,28,40,6,3
      Schuld,324,81,120,47,49,15,12,103,105,29,6
      Senscheid,40,9,27,4,0,0,0,21,4,6,0
      Sierscheid,48,9,18,6,6,9,0,15,18,3,3
      Trierscheid,30,12,9,3,6,0,0,6,9,0,3
      Wershofen,388,98,149,80,48,13,0,122,129,33,6
      Wiesemscheid,106,36,19,21,13,17,0,22,41,7,0
      Wimbach,212,75,61,41,26,6,3,52,70,15,0
      Winnerath,81,21,31,13,13,3,0,31,26,3,0
      Wirft,68,16,25,15,12,0,0,19,21,12,0
      Ahrbrück,514,148,186,68,70,27,15,168,139,50,9
      Altenahr,761,234,241,132,117,31,6,227,246,51,3
      Berg,572,127,230,101,80,21,13,195,193,41,16
      Dernau,781,227,312,100,96,39,7,284,213,51,6
      Heckenbach,111,36,37,14,15,6,3,36,32,7,0
      Hönningen,443,100,179,85,73,6,0,159,148,17,19
      Kalenborn,280,75,110,52,30,9,4,94,83,22,6
      Kesseling,272,84,101,35,37,12,3,85,71,29,3
      Kirchsahr,202,61,93,10,24,4,10,89,42,3,7
      Lind,241,60,93,49,20,13,6,87,75,19,0
      Mayschoß,404,132,119,70,58,15,10,94,130,36,12
      Rech,277,99,89,47,30,12,0,76,74,25,3
"      Bad Breisig, St.",4377,1861,1465,503,352,115,81,1279,903,252,82
      Brohl-Lützing,1051,275,400,196,128,42,10,338,322,110,6
      Gönnersdorf,247,59,88,35,54,8,3,88,81,13,6
      Gönnersdorf,247,59,88,35,54,8,3,91,56,12,9
      Gönnersdorf,247,79,97,23,27,9,12,88,81,13,6
      Gönnersdorf,247,79,97,23,27,9,12,91,56,12,9
      Waldorf,358,89,141,58,55,12,3,123,125,12,9
      Brenk,80,17,32,12,13,3,3,26,28,9,0
      Burgbrohl,1331,389,470,237,164,50,21,401,420,115,6
      Dedenbach,196,60,81,34,15,3,3,69,49,15,3
      Galenberg,78,13,26,19,17,0,3,23,36,3,3
      Glees,238,79,86,28,33,9,3,77,67,12,3
      Hohenleimbach,137,36,54,22,19,6,0,50,35,13,3
      Kempenich,768,212,247,145,109,39,16,207,279,60,10
      Königsfeld,286,77,115,44,30,17,3,94,82,33,0
      Niederdürenbach,409,82,167,72,79,6,3,158,132,24,13
      Niederzissen,1146,310,420,199,148,59,10,378,347,86,25
      Oberdürenbach,287,77,122,48,25,7,8,113,85,9,3
      Oberzissen,473,149,149,64,84,18,9,140,148,36,0
      Schalkenbach,361,91,125,69,55,15,6,102,108,45,15
      Spessart,296,63,110,39,59,21,4,86,109,26,12
      Wassenach,483,114,172,111,60,16,10,146,190,30,3
      Wehr,487,101,206,90,71,9,10,185,165,27,9
      Weibern,620,209,182,92,105,22,10,162,213,30,6
"Herdorf, St.",2875,840,955,518,379,120,63,819,902,264,50
      Almersbach,175,38,69,41,9,12,6,63,59,12,3
"      Altenkirchen Ww., St.",2787,1005,858,421,327,112,64,723,781,230,48
      Bachenberg,35,8,3,4,10,6,4,0,21,6,0
      Berod bei Hachenburg,236,54,87,55,31,3,6,66,74,33,9
      Birnbach,222,57,74,22,48,9,12,59,85,15,6
      Busenhausen,128,31,45,24,16,6,6,38,37,19,3
      Eichelhardt,178,30,75,45,19,6,3,65,67,13,3
      Ersfeld,33,4,17,6,0,3,3,17,9,3,0
      Fiersbach,113,37,43,9,21,3,0,40,30,6,0
      Fluterschen,288,86,91,58,38,9,6,85,91,23,3
      Forstmehren,55,8,22,3,13,3,6,25,19,3,0
      Gieleroth,271,66,101,57,31,6,10,91,95,13,6
      Hasselbach,133,33,33,33,19,9,6,29,52,13,6
      Helmenzen,318,73,96,56,49,23,21,84,125,33,3
      Helmeroth,89,12,38,24,12,0,3,37,27,9,4
      Hemmelzen,94,31,21,21,18,0,3,21,39,3,0
      Heupelzen,112,27,43,18,21,0,3,40,27,18,0
      Hilgenroth,121,33,36,17,16,16,3,21,49,14,4
      Hirz-Maulsbach,128,29,47,19,26,0,7,38,46,12,3
      Idelberg,22,6,6,6,4,0,0,6,10,0,0
      Ingelbach,228,65,70,40,44,9,0,70,81,9,3
      Isert,47,6,22,3,6,3,7,22,13,6,0
      Kettenhausen,111,31,33,13,24,7,3,30,44,0,6
      Kircheib,223,52,90,45,18,15,3,85,63,20,3
      Kraam,75,13,21,16,13,12,0,18,35,9,0
      Mammelzen,391,108,111,75,58,18,21,107,148,22,6
      Mehren,172,46,82,26,8,7,3,50,41,31,4
      Michelbach Ww.,219,61,75,25,28,15,15,55,71,29,3
      Neitersen,336,86,119,83,32,6,10,105,107,29,9
      Obererbach Ww.,225,67,67,30,25,27,9,63,79,16,0
      Oberirsen,253,61,88,41,32,22,9,86,90,10,6
      Oberwambach,167,53,42,40,16,13,3,42,62,10,0
      Ölsen,28,6,7,9,3,3,0,3,12,4,3
      Racksen,68,21,15,9,16,3,4,12,28,7,0
      Rettersen,140,30,53,18,21,12,6,44,57,0,9
      Schöneberg,165,35,72,24,28,6,0,60,43,27,0
      Sörth,97,21,23,20,20,6,7,24,39,13,0
      Stürzelbach,114,28,39,22,22,3,0,35,43,8,0
      Volkerzen,30,6,6,6,3,6,3,3,15,6,0
      Werkhausen,96,24,42,9,14,4,3,42,24,6,0
      Weyerbusch,607,198,204,89,87,23,6,180,158,62,9
      Wölmersen,180,46,75,19,28,9,3,62,50,16,6
      Alsdorf,689,219,230,129,76,21,14,219,205,37,9
"      Betzdorf, St.",4354,1436,1413,692,540,174,99,1117,1236,452,113
      Grünebach,248,78,86,41,36,3,4,68,73,16,13
      Scheuerfeld,867,228,333,152,110,34,10,284,266,80,9
      Wallmenroth,491,127,136,91,92,36,9,126,199,39,0
      Daaden,1885,549,652,321,244,79,40,561,593,146,36
      Derschen,404,87,144,55,56,38,24,135,152,15,15
      Emmerzhausen,299,84,103,48,38,17,9,97,106,12,0
      Friedewald,432,92,135,88,89,18,10,113,180,35,12
      Mauden,41,4,12,12,10,3,0,12,22,3,0
      Niederdreisbach,378,91,134,75,44,28,6,118,139,27,3
      Nisterberg,147,45,36,31,22,10,3,34,59,9,0
      Schutzbach,170,54,73,19,20,4,0,70,37,6,3
      Weitefeld,928,207,344,166,137,49,25,291,342,82,6
      Berzhausen,71,24,24,14,6,0,3,21,16,10,0
      Bürdenbach,287,100,101,47,26,9,4,88,73,23,3
      Burglahr,210,72,63,30,36,3,6,60,56,13,9
      Eichen,222,69,79,32,25,10,7,69,62,16,6
      Eulenberg,27,6,9,6,3,3,0,9,3,6,3
      Flammersfeld,597,207,198,93,66,27,6,169,141,61,19
      Giershausen,50,12,26,3,3,0,6,20,12,6,0
      Güllesheim,308,89,113,58,34,7,7,99,84,33,3
      Horhausen Ww.,883,284,331,142,92,28,6,297,220,64,18
      Kescheid,47,13,8,7,12,7,0,8,23,3,0
      Krunkel,245,47,83,60,36,16,3,87,99,12,0
      Niedersteinebach,83,20,26,16,15,0,6,26,25,9,3
      Oberlahr,345,91,135,62,32,19,6,135,98,12,9
      Obernau,78,26,28,6,12,0,6,22,15,15,0
      Obersteinebach,115,26,52,24,9,4,0,39,28,16,6
      Orfgen,98,18,39,22,13,6,0,33,38,6,3
      Peterslahr,127,29,59,7,23,9,0,55,33,10,0
      Pleckhausen,297,72,111,48,47,9,10,103,108,14,0
      Reiferscheid,167,46,68,13,28,9,3,59,50,12,0
      Rott,157,32,55,36,31,3,0,59,54,6,6
      Schürdt,100,31,37,11,9,9,3,31,32,3,3
      Seelbach Ww.,131,25,55,24,13,10,4,36,39,31,0
      Seifen,54,10,34,0,10,0,0,34,10,0,0
      Walterschen,66,18,26,13,6,3,0,19,22,7,0
      Willroth,334,93,110,59,37,12,23,96,122,17,6
      Ziegenhain,53,7,24,13,9,0,0,21,19,6,0
      Dickendorf,145,40,55,29,9,6,6,49,37,10,9
      Elben,141,36,41,30,25,6,3,41,58,3,3
      Elkenroth,723,146,231,148,140,39,19,199,281,76,21
      Fensdorf,180,38,67,35,27,13,0,51,72,16,3
      Gebhardshain,760,177,264,143,123,38,15,219,277,78,9
      Kausen,298,48,100,57,62,25,6,87,135,19,9
      Malberg,396,83,127,74,67,33,12,129,147,33,4
      Molzhain,223,63,74,49,25,9,3,69,70,18,3
      Nauroth,448,113,148,94,56,24,13,131,159,42,3
      Rosenheim LK  Altenkirchen,307,68,104,61,51,14,9,78,119,39,3
      Steinebach/Sieg,511,117,185,106,66,31,6,155,182,48,9
      Steineroth,240,47,92,46,45,3,7,77,79,33,4
      Birkenbeul,186,50,63,32,28,13,0,57,70,3,6
      Bitzen,323,87,98,81,47,7,3,92,115,26,3
      Breitscheidt,386,97,159,64,32,9,25,115,104,60,10
      Bruchertseifen,309,85,114,58,21,22,9,96,94,31,3
      Etzbach,445,92,151,89,64,19,30,155,171,20,7
      Forst,277,70,103,46,40,12,6,84,94,23,6
      Fürthen,489,128,190,66,70,26,9,155,158,39,9
      Hamm Sieg,1426,497,431,216,165,67,50,388,406,122,13
      Niederirsen,51,13,14,14,7,3,0,14,17,7,0
      Pracht,599,136,214,96,97,26,30,189,218,53,3
      Roth,606,172,204,102,75,34,19,176,202,41,15
      Seelbach bei Hamm Sieg,64,13,28,16,4,3,0,31,13,7,0
      Brachbach,1050,295,367,201,151,30,6,336,321,88,10
      Friesenhagen,646,173,215,110,105,18,25,173,225,62,13
      Harbach,226,51,71,43,42,19,0,62,92,21,0
"      Kirchen Sieg, St.",3845,1195,1330,627,449,161,83,1152,1111,313,74
      Mudersbach,2617,772,995,430,295,92,33,850,731,224,40
      Niederfischbach,1809,511,643,309,231,87,28,559,580,132,27
      Birken-Honigsessen,970,196,353,191,170,45,15,307,356,99,12
      Hövels,237,62,60,51,28,33,3,61,95,9,10
      Katzwinkel Sieg,768,198,262,132,114,26,36,217,255,83,15
      Mittelhof,422,107,167,71,56,12,9,149,133,24,9
      Selbach Sieg,333,71,138,64,32,25,3,118,114,24,6
"      Wissen, St.",3611,1131,1206,603,451,132,88,974,1073,335,98
"Alzey, St.",7860,2732,2648,1244,844,251,141,2148,2112,649,219
"Osthofen, St.",3449,950,1215,566,471,135,112,1041,1110,275,73
      Albig,652,129,242,126,100,37,18,229,247,40,7
      Bechenheim,180,42,58,32,36,6,6,61,62,15,0
      Bechtolsheim,624,159,181,144,84,37,19,157,247,58,3
      Bermersheim vor der Höhe,158,43,50,31,24,0,10,41,56,18,0
      Biebelnheim,268,51,92,71,48,6,0,76,112,11,18
      Bornheim,282,58,117,65,32,10,0,90,93,35,6
      Dintesheim,65,6,21,9,20,3,6,15,38,6,0
      Eppelsheim,485,87,190,91,94,16,7,160,195,24,19
      Erbes-Büdesheim,553,118,217,92,85,26,15,167,196,54,18
      Esselborn,147,32,46,37,26,3,3,46,62,7,0
      Flomborn,399,90,118,91,66,22,12,106,153,43,7
      Flonheim,1107,310,360,205,169,43,20,325,378,67,27
      Framersheim,656,163,227,147,69,35,15,208,227,58,0
      Freimersheim,242,36,100,45,37,15,9,79,96,17,14
      Gau-Heppenheim,212,41,83,51,25,6,6,59,79,24,9
      Gau-Odernheim,1500,352,494,282,261,63,48,417,587,119,25
      Kettenheim,119,40,40,23,9,3,4,38,32,9,0
      Lonsheim,235,61,67,46,38,17,6,65,87,19,3
      Mauchenheim,394,79,133,74,70,18,20,111,161,33,10
      Nack,256,60,76,61,42,14,3,69,105,16,6
      Nieder-Wiesen,258,59,93,52,44,3,7,94,79,20,6
      Ober-Flörsheim,459,105,139,82,100,27,6,125,187,30,12
      Offenheim,234,48,84,46,47,0,9,81,87,12,6
      Wahlheim,240,44,88,55,29,18,6,85,87,21,3
      Alsheim,1080,272,364,218,171,44,11,319,373,95,21
      Eich,1432,386,512,254,178,62,40,453,468,95,30
      Gimbsheim,1255,326,475,233,149,45,27,393,404,84,48
      Hamm am Rhein,890,197,345,150,139,37,22,308,302,71,12
      Mettenheim,550,106,211,100,77,38,18,177,210,48,9
      Flörsheim-Dalsheim,1136,301,367,182,200,64,22,328,419,71,17
      Hohen-Sülzen,267,58,106,49,42,3,9,84,94,22,9
      Mölsheim,253,68,82,47,33,16,7,79,82,18,6
      Monsheim,1060,280,366,221,135,40,18,318,345,108,9
      Mörstadt,341,84,105,61,72,9,10,92,146,16,3
      Offstein,747,193,259,135,118,33,9,247,257,44,6
      Wachenheim,280,58,112,64,31,6,9,97,97,16,12
      Bechtheim,702,177,247,123,111,38,6,224,256,35,10
      Bermersheim,134,29,43,30,16,9,7,36,56,10,3
      Dittelsheim-Heßloch,829,193,282,169,132,35,18,266,299,65,6
      Frettenheim,120,23,32,38,9,12,6,31,56,7,3
      Gundersheim,665,182,228,111,99,27,18,194,230,50,9
      Gundheim,373,79,138,81,56,10,9,140,129,18,7
      Hangen-Weisheim,188,48,59,41,25,6,9,47,69,15,9
      Hochborn,175,35,64,46,9,12,9,57,58,22,3
      Monzernheim,234,43,85,51,35,17,3,82,94,15,0
      Westhofen,1297,281,497,243,202,41,33,420,460,111,25
      Eckelsheim,163,29,63,28,25,9,9,51,62,15,6
      Gau-Bickelheim,808,188,263,164,133,44,16,220,309,79,12
      Gumbsheim,215,34,84,33,38,16,10,77,82,19,3
      Siefersheim,497,123,165,97,74,32,6,126,200,36,12
      Stein-Bockenheim,282,72,96,53,42,19,0,82,89,36,3
      Wendelsheim,553,123,186,121,89,28,6,178,198,42,12
      Wöllstein,1777,485,560,357,260,64,51,454,631,148,59
      Wonsheim,356,96,114,71,53,18,4,108,131,18,3
      Armsheim,1003,242,311,207,174,40,29,289,395,62,15
      Ensheim,182,40,59,39,35,9,0,50,68,21,3
      Gabsheim,311,51,116,65,61,9,9,94,116,32,18
      Gau-Weinheim,251,61,70,62,43,15,0,61,111,15,3
      Partenheim,671,178,224,122,108,21,18,215,218,51,9
      Saulheim,2852,679,963,533,459,141,77,816,1053,251,53
      Schornsheim,655,175,228,123,95,25,9,213,221,37,9
      Spiesheim,397,103,124,81,61,18,10,111,151,32,0
      Sulzheim,458,128,158,65,62,33,12,113,159,37,21
      Udenheim,553,128,190,118,98,16,3,185,196,38,6
      Vendersheim,232,62,72,50,24,15,9,68,95,7,0
      Wallertheim,700,180,238,124,120,25,13,206,248,52,14
"      Wörrstadt, St.",3117,821,1144,535,427,121,69,960,990,276,70
"Bad Dürkheim, St.",8609,3199,3130,1135,802,231,112,2683,1934,637,156
"Grünstadt, St.",5883,1973,2200,833,621,180,76,1838,1481,462,129
Haßloch,8625,2511,3160,1465,1036,324,129,2786,2500,684,144
"      Deidesheim, St.",1784,628,610,286,184,57,19,521,471,143,21
      Forst an der Weinstraße,338,73,130,62,41,16,16,124,120,18,3
      Meckenheim,1413,349,500,266,228,42,28,454,482,112,16
      Niederkirchen bei Deidesheim,969,257,290,191,155,63,13,267,364,78,3
      Ruppertsberg,601,129,216,123,82,30,21,195,239,28,10
      Bobenheim am Berg,359,92,124,77,50,9,7,124,124,19,0
      Dackenheim,178,36,62,40,28,9,3,63,60,16,3
      Erpolzheim,536,109,196,96,101,25,9,177,211,29,10
"      Freinsheim, St.",2231,669,753,434,261,84,30,653,696,174,39
      Herxheim am Berg,324,77,136,57,33,18,3,123,105,16,3
      Kallstadt,521,150,186,97,52,24,12,159,146,52,14
      Weisenheim am Berg,754,149,322,146,96,29,12,288,242,65,10
      Weisenheim am Sand,1814,461,650,353,257,69,24,582,608,137,26
      Battenberg Pfalz,185,34,81,31,27,6,6,72,55,21,3
      Bissersheim,179,36,67,33,27,13,3,58,73,9,3
      Bockenheim an der Weinstraße,911,210,349,181,134,22,15,294,306,86,15
      Dirmstein,1250,299,438,270,172,45,26,386,444,97,24
      Ebertsheim,535,152,159,124,72,19,9,155,184,41,3
      Gerolsheim,728,197,261,135,86,34,15,233,248,44,6
      Großkarlbach,500,128,186,96,64,19,7,159,166,41,6
      Kindenheim,415,68,190,68,59,27,3,158,132,50,7
      Kirchheim an der Weinstraße,805,214,269,158,120,37,7,230,274,75,12
      Kleinkarlbach,352,81,127,62,56,20,6,128,112,22,9
      Laumersheim,370,82,139,72,59,9,9,124,130,25,9
      Mertesheim,162,23,58,47,22,9,3,52,68,16,3
      Neuleiningen,383,118,139,75,39,3,9,107,110,29,19
      Obersülzen,255,56,80,49,55,9,6,76,110,6,7
      Obrigheim Pfalz,1129,299,378,218,168,51,15,350,390,81,9
      Quirnheim,262,56,91,43,56,6,10,82,103,21,0
      Altleiningen,756,180,315,129,83,37,12,283,235,48,10
      Carlsberg,1507,410,550,269,206,47,25,515,478,81,23
      Hettenleidelheim,1250,329,424,233,169,74,21,364,414,128,15
      Tiefenthal,325,109,78,63,60,12,3,72,125,16,3
      Wattenheim,685,179,243,146,87,21,9,215,216,59,16
      Elmstein,1094,294,390,203,146,37,24,349,371,68,12
      Esthal,596,148,213,105,84,22,24,180,214,48,6
      Frankeneck,367,99,125,76,45,10,12,101,125,36,6
"      Lambrecht Pfalz, St.",1696,513,585,280,224,60,34,505,506,155,17
      Lindenberg,480,126,196,89,46,20,3,168,142,32,12
      Neidenfels,373,86,140,76,31,21,19,133,126,25,3
      Weidenthal,799,199,296,133,128,28,15,233,260,91,16
      Ellerstadt,934,231,334,170,141,38,20,322,317,61,3
      Friedelsheim,623,130,229,135,86,24,19,225,224,35,9
      Gönnheim,603,121,234,120,82,27,19,219,214,49,0
"      Wachenheim a. d. W., St.",2025,556,772,310,315,57,15,703,596,150,20
"Bad Kreuznach, gr. kr. St.",20894,8815,6494,2690,1826,696,373,5283,4550,1817,429
"Kirn, St.",3774,1289,1271,612,396,134,72,1030,1030,350,75
      Biebelsheim,271,48,97,52,56,12,6,82,107,22,12
      Frei-Laubersheim,414,82,139,89,59,35,10,134,154,37,7
      Fürfeld,634,163,215,105,87,43,21,193,220,52,6
      Hackenheim,874,205,308,181,121,47,12,276,294,87,12
      Neu-Bamberg,407,111,156,64,55,12,9,129,124,25,18
      Pfaffen-Schwabenheim,518,141,168,95,89,19,6,162,182,27,6
      Pleitersheim,132,28,31,28,33,9,3,31,67,3,3
      Tiefenthal,48,8,23,7,3,4,3,23,10,7,0
      Volxheim,442,106,130,108,74,17,7,136,165,32,3
      Altenbamberg,333,76,125,72,31,26,3,101,120,24,12
"      Bad Münster am Stein-Ebg., St.",2049,874,707,262,137,41,28,622,379,141,33
      Duchroth,233,51,93,31,45,10,3,71,77,31,3
      Feilbingert,692,167,231,163,87,28,16,198,253,71,3
      Hallgarten,312,60,95,77,59,15,6,95,123,34,0
      Hochstätten,274,59,113,57,21,9,15,103,86,26,0
      Niederhausen,238,59,87,41,36,9,6,81,82,7,9
      Norheim,643,158,239,91,126,13,16,193,199,74,19
      Oberhausen an der Nahe,150,36,47,23,20,17,7,47,58,9,0
      Traisen,239,72,77,44,32,3,11,68,68,25,6
      Auen,70,17,25,12,16,0,0,31,22,0,0
"      Bad Sobernheim, St.",2828,947,928,452,330,108,63,803,805,224,49
      Bärweiler,102,22,24,21,20,6,9,21,47,9,3
      Daubach,89,15,25,21,22,3,3,25,43,3,3
      Ippenschied,49,9,17,3,10,10,0,17,20,0,3
      Kirschroth,122,32,33,20,19,9,9,30,53,7,0
      Langenthal,29,6,6,9,0,0,8,3,10,10,0
      Lauschied,214,56,66,31,31,24,6,71,80,7,0
      Martinstein,126,36,42,25,20,0,3,42,36,12,0
      Meddersheim,546,101,212,118,89,22,4,195,201,43,6
      Merxheim,612,143,220,108,97,19,25,203,213,44,9
      Monzingen,647,160,200,145,95,34,13,168,245,61,13
      Nußbaum,190,50,71,16,33,17,3,62,62,13,3
      Odernheim am Glan,742,203,267,124,94,36,18,220,238,69,12
      Rehbach,15,0,4,3,8,0,0,4,11,0,0
