City,Total,Man,Woman,Year
Deutschland,844439.0,397651.0,446788.0,2008
  Rheinland-Pfalz,42932.0,20360.0,22572.0,2008
"    Koblenz, Stat. Region",16697.0,7926.0,8771.0,2008
"      Koblenz, kreisfreie Stadt",1279.0,573.0,706.0,2008
"      Ahrweiler, Landkreis",1434.0,670.0,764.0,2008
"      Altenkirchen (Westerwald), Landkreis",1554.0,752.0,802.0,2008
"      Bad Kreuznach, Landkreis",1774.0,838.0,936.0,2008
"      Birkenfeld, Landkreis",1116.0,548.0,568.0,2008
"      Cochem-Zell, Landkreis",758.0,360.0,398.0,2008
"      Mayen-Koblenz, Landkreis",2230.0,1109.0,1121.0,2008
"      Neuwied, Landkreis",1976.0,921.0,1055.0,2008
      Rhein-Hunsrück-Kreis,1060.0,508.0,552.0,2008
      Rhein-Lahn-Kreis,1428.0,677.0,751.0,2008
      Westerwaldkreis,2088.0,970.0,1118.0,2008
"    Trier, Stat. Region",5444.0,2524.0,2920.0,2008
"      Trier, kreisfreie Stadt",1028.0,481.0,547.0,2008
"      Bernkastel-Wittlich, Landkreis",1176.0,550.0,626.0,2008
      Eifelkreis Bitburg-Prüm,1066.0,478.0,588.0,2008
"      Vulkaneifel, Landkreis",738.0,344.0,394.0,2008
"      Trier-Saarburg, Landkreis",1436.0,671.0,765.0,2008
"    Rheinhessen-Pfalz, Stat. Region",20791.0,9910.0,10881.0,2008
"      Frankenthal (Pfalz), kreisfreie Stadt",513.0,249.0,264.0,2008
"      Kaiserslautern, kreisfreie Stadt",1131.0,536.0,595.0,2008
"      Landau in der Pfalz, kreisfreie Stadt",440.0,198.0,242.0,2008
"      Ludwigshafen am Rhein, kreisfreie Stadt",1670.0,790.0,880.0,2008
"      Mainz, kreisfreie Stadt",1744.0,791.0,953.0,2008
"      Neustadt an der Weinstraße, kreisfreie Stadt",619.0,290.0,329.0,2008
"      Pirmasens, kreisfreie Stadt",653.0,311.0,342.0,2008
"      Speyer, kreisfreie Stadt",570.0,250.0,320.0,2008
"      Worms, kreisfreie Stadt",896.0,446.0,450.0,2008
"      Zweibrücken, kreisfreie Stadt",389.0,176.0,213.0,2008
"      Alzey-Worms, Landkreis",1134.0,530.0,604.0,2008
"      Bad Dürkheim, Landkreis",1408.0,646.0,762.0,2008
      Donnersbergkreis,831.0,408.0,423.0,2008
"      Germersheim, Landkreis",1108.0,564.0,544.0,2008
"      Kaiserslautern, Landkreis",1207.0,607.0,600.0,2008
"      Kusel, Landkreis",969.0,445.0,524.0,2008
"      Südliche Weinstraße, Landkreis",1075.0,507.0,568.0,2008
      Rhein-Pfalz-Kreis,1469.0,710.0,759.0,2008
"      Mainz-Bingen, Landkreis",1840.0,905.0,935.0,2008
"      Südwestpfalz, Landkreis",1125.0,551.0,574.0,2008
Deutschland,854544.0,404969.0,449575.0,2009
  Rheinland-Pfalz,43903.0,20637.0,23266.0,2009
"    Koblenz, Stat. Region",17359.0,8079.0,9280.0,2009
"      Koblenz, kreisfreie Stadt",1279.0,558.0,721.0,2009
"      Ahrweiler, Landkreis",1555.0,699.0,856.0,2009
"      Altenkirchen (Westerwald), Landkreis",1535.0,715.0,820.0,2009
"      Bad Kreuznach, Landkreis",1806.0,861.0,945.0,2009
"      Birkenfeld, Landkreis",1113.0,552.0,561.0,2009
"      Cochem-Zell, Landkreis",823.0,401.0,422.0,2009
"      Mayen-Koblenz, Landkreis",2288.0,1039.0,1249.0,2009
"      Neuwied, Landkreis",2108.0,983.0,1125.0,2009
      Rhein-Hunsrück-Kreis,1153.0,522.0,631.0,2009
      Rhein-Lahn-Kreis,1520.0,731.0,789.0,2009
      Westerwaldkreis,2179.0,1018.0,1161.0,2009
"    Trier, Stat. Region",5557.0,2631.0,2926.0,2009
"      Trier, kreisfreie Stadt",1041.0,494.0,547.0,2009
"      Bernkastel-Wittlich, Landkreis",1246.0,577.0,669.0,2009
      Eifelkreis Bitburg-Prüm,1044.0,479.0,565.0,2009
"      Vulkaneifel, Landkreis",821.0,385.0,436.0,2009
"      Trier-Saarburg, Landkreis",1405.0,696.0,709.0,2009
"    Rheinhessen-Pfalz, Stat. Region",20987.0,9927.0,11060.0,2009
"      Frankenthal (Pfalz), kreisfreie Stadt",503.0,268.0,235.0,2009
"      Kaiserslautern, kreisfreie Stadt",1142.0,535.0,607.0,2009
"      Landau in der Pfalz, kreisfreie Stadt",480.0,197.0,283.0,2009
"      Ludwigshafen am Rhein, kreisfreie Stadt",1644.0,797.0,847.0,2009
"      Mainz, kreisfreie Stadt",1714.0,792.0,922.0,2009
"      Neustadt an der Weinstraße, kreisfreie Stadt",539.0,242.0,297.0,2009
"      Pirmasens, kreisfreie Stadt",674.0,288.0,386.0,2009
"      Speyer, kreisfreie Stadt",596.0,284.0,312.0,2009
"      Worms, kreisfreie Stadt",920.0,429.0,491.0,2009
"      Zweibrücken, kreisfreie Stadt",405.0,205.0,200.0,2009
"      Alzey-Worms, Landkreis",1207.0,570.0,637.0,2009
"      Bad Dürkheim, Landkreis",1536.0,741.0,795.0,2009
      Donnersbergkreis,875.0,429.0,446.0,2009
"      Germersheim, Landkreis",1150.0,555.0,595.0,2009
"      Kaiserslautern, Landkreis",1173.0,566.0,607.0,2009
"      Kusel, Landkreis",903.0,415.0,488.0,2009
"      Südliche Weinstraße, Landkreis",1152.0,548.0,604.0,2009
      Rhein-Pfalz-Kreis,1554.0,748.0,806.0,2009
"      Mainz-Bingen, Landkreis",1779.0,825.0,954.0,2009
