Area,School_Type,Total_School,Total_People,Female,Foreigners,Year
"Flensburg, kreisfreie Stadt",Fachgymnasien,3.0,793.0,438.0,16.0,2012
"Kiel, Landeshauptstadt, kreisfreie Stadt",Fachgymnasien,5.0,1222.0,672.0,52.0,2012
"Lübeck, Hansestadt, kreisfreie Stadt",Fachgymnasien,4.0,1061.0,555.0,68.0,2012
"Neumünster, kreisfreie Stadt",Fachgymnasien,3.0,860.0,457.0,21.0,2012
"Dithmarschen, Landkreis",Fachgymnasien,1.0,339.0,190.0,4.0,2012
"Herzogtum Lauenburg, Landkreis",Fachgymnasien,1.0,558.0,308.0,27.0,2012
"Nordfriesland, Landkreis",Fachgymnasien,2.0,677.0,375.0,4.0,2012
"Ostholstein, Landkreis",Fachgymnasien,2.0,689.0,396.0,13.0,2012
"Pinneberg, Landkreis",Fachgymnasien,1.0,306.0,152.0,19.0,2012
"Plön, Landkreis",Fachgymnasien,1.0,288.0,149.0,4.0,2012
"Rendsburg-Eckernförde, Landkreis",Fachgymnasien,2.0,533.0,247.0,14.0,2012
"Schleswig-Flensburg, Landkreis",Fachgymnasien,1.0,691.0,367.0,16.0,2012
"Segeberg, Landkreis",Fachgymnasien,2.0,682.0,408.0,26.0,2012
"Steinburg, Landkreis",Fachgymnasien,1.0,259.0,156.0,7.0,2012
"Stormarn, Landkreis",Fachgymnasien,2.0,410.0,229.0,8.0,2012
Hamburg,Fachgymnasien,12.0,2350.0,975.0,312.0,2012
"Braunschweig, kreisfreie Stadt",Fachgymnasien,3.0,679.0,353.0,31.0,2012
"Salzgitter, kreisfreie Stadt",Fachgymnasien,2.0,350.0,197.0,48.0,2012
"Wolfsburg, kreisfreie Stadt",Fachgymnasien,2.0,405.0,184.0,24.0,2012
"Gifhorn, Landkreis",Fachgymnasien,1.0,342.0,183.0,11.0,2012
"Göttingen, Landkreis",Fachgymnasien,3.0,686.0,367.0,40.0,2012
"Goslar, Landkreis",Fachgymnasien,2.0,548.0,302.0,17.0,2012
"Northeim, Landkreis",Fachgymnasien,2.0,469.0,238.0,16.0,2012
"Osterode am Harz, Landkreis",Fachgymnasien,1.0,384.0,224.0,18.0,2012
"Peine, Landkreis",Fachgymnasien,1.0,147.0,64.0,14.0,2012
"Wolfenbüttel, Landkreis",Fachgymnasien,1.0,96.0,36.0,6.0,2012
"Region Hannover, Landkreis",Fachgymnasien,7.0,1590.0,705.0,70.0,2012
"Hannover, Landeshauptstadt",Fachgymnasien,4.0,752.0,387.0,33.0,2012
"Diepholz, Landkreis",Fachgymnasien,2.0,599.0,334.0,13.0,2012
"Hameln-Pyrmont, Landkreis",Fachgymnasien,3.0,758.0,390.0,31.0,2012
"Hildesheim, Landkreis",Fachgymnasien,5.0,1167.0,581.0,31.0,2012
"Holzminden, Landkreis",Fachgymnasien,1.0,210.0,99.0,3.0,2012
"Nienburg (Weser), Landkreis",Fachgymnasien,1.0,311.0,171.0,13.0,2012
"Schaumburg, Landkreis",Fachgymnasien,2.0,331.0,152.0,20.0,2012
"Celle, Landkreis",Fachgymnasien,3.0,605.0,295.0,7.0,2012
"Cuxhaven, Landkreis",Fachgymnasien,2.0,564.0,299.0,14.0,2012
