City,Total,Mining and extraction of stones and earth ,Manufacturing,Power Supply,Water Supply,Construction Industry,"Trade, maintance and repair motor vehicle",Traffic and warehousing,Hospitality,Information and communication,Provision of Finace and insurance service,Real estate and housing,"Freelance, science technology services",Other Economic services,Education and Teaching,Helth and social care,"Art, Entertainment and Recreation",Provision and other services,Year
"Koblenz, kreisfreie Stadt",6192.0,0.0,327.0,0.0,17.0,388.0,1311.0,272.0,506.0,266.0,176.0,601.0,829.0,304.0,172.0,471.0,170.0,359.0,2008
"Ahrweiler, Landkreis",6510.0,8.0,592.0,11.0,26.0,780.0,1282.0,200.0,675.0,207.0,118.0,576.0,682.0,288.0,163.0,365.0,185.0,352.0,2008
"Altenkirchen (Westerwald), Landkreis",5965.0,0.0,678.0,23.0,32.0,677.0,1377.0,183.0,394.0,157.0,108.0,566.0,549.0,252.0,165.0,321.0,128.0,355.0,2008
"Bad Kreuznach, Landkreis",7270.0,8.0,688.0,42.0,33.0,737.0,1579.0,233.0,610.0,209.0,157.0,555.0,796.0,311.0,226.0,475.0,187.0,424.0,2008
"Birkenfeld, Landkreis",4118.0,3.0,724.0,12.0,29.0,405.0,970.0,96.0,347.0,72.0,118.0,279.0,290.0,121.0,88.0,237.0,105.0,222.0,2008
"Cochem-Zell, Landkreis",3262.0,0.0,288.0,22.0,0.0,375.0,682.0,102.0,638.0,59.0,59.0,252.0,193.0,92.0,82.0,181.0,46.0,183.0,2008
"Mayen-Koblenz, Landkreis",9641.0,35.0,983.0,39.0,32.0,1102.0,2239.0,386.0,775.0,255.0,221.0,801.0,957.0,380.0,260.0,504.0,224.0,448.0,2008
"Neuwied, Landkreis",9029.0,11.0,908.0,17.0,34.0,1102.0,1988.0,278.0,642.0,275.0,184.0,833.0,1026.0,365.0,210.0,474.0,212.0,470.0,2008
Rhein-Hunsrück-Kreis,4967.0,0.0,458.0,32.0,23.0,633.0,1042.0,195.0,468.0,148.0,116.0,431.0,487.0,212.0,125.0,245.0,0.0,247.0,2008
Rhein-Lahn-Kreis,5614.0,6.0,527.0,27.0,23.0,608.0,1128.0,198.0,553.0,182.0,122.0,422.0,624.0,252.0,174.0,322.0,120.0,326.0,2008
Westerwaldkreis,10320.0,32.0,1220.0,63.0,39.0,1240.0,2226.0,342.0,657.0,311.0,195.0,1001.0,1090.0,434.0,290.0,484.0,187.0,509.0,2008
"Trier, kreisfreie Stadt",5428.0,0.0,358.0,0.0,20.0,311.0,1345.0,162.0,500.0,155.0,124.0,531.0,691.0,199.0,128.0,436.0,130.0,324.0,2008
"Bernkastel-Wittlich, Landkreis",5497.0,11.0,658.0,29.0,20.0,562.0,1225.0,165.0,790.0,89.0,116.0,440.0,412.0,183.0,114.0,297.0,103.0,283.0,2008
Eifelkreis Bitburg-Prüm,4368.0,8.0,455.0,103.0,25.0,454.0,975.0,162.0,511.0,74.0,120.0,389.0,306.0,124.0,111.0,197.0,112.0,242.0,2008
"Vulkaneifel, Landkreis",2937.0,18.0,289.0,20.0,18.0,330.0,662.0,110.0,313.0,69.0,58.0,258.0,268.0,92.0,71.0,149.0,68.0,144.0,2008
"Trier-Saarburg, Landkreis",5153.0,9.0,520.0,35.0,23.0,645.0,1089.0,179.0,561.0,87.0,142.0,433.0,465.0,164.0,140.0,275.0,106.0,280.0,2008
"Frankenthal (Pfalz), kreisfreie Stadt",2045.0,0.0,151.0,0.0,7.0,173.0,475.0,88.0,157.0,58.0,38.0,184.0,232.0,98.0,50.0,152.0,53.0,121.0,2008
"Kaiserslautern, kreisfreie Stadt",5004.0,0.0,279.0,13.0,0.0,327.0,1102.0,179.0,440.0,162.0,126.0,432.0,746.0,216.0,147.0,386.0,128.0,310.0,2008
"Landau in der Pfalz, kreisfreie Stadt",2633.0,0.0,173.0,0.0,14.0,186.0,632.0,49.0,196.0,83.0,59.0,295.0,355.0,107.0,72.0,190.0,69.0,143.0,2008
"Ludwigshafen am Rhein, kreisfreie Stadt",6138.0,4.0,355.0,12.0,18.0,691.0,1238.0,306.0,556.0,207.0,113.0,466.0,687.0,338.0,176.0,445.0,161.0,365.0,2008
"Mainz, kreisfreie Stadt",10680.0,5.0,523.0,85.0,22.0,608.0,1794.0,369.0,735.0,659.0,211.0,1144.0,1776.0,584.0,234.0,755.0,440.0,736.0,2008
"Neustadt an der Weinstraße, kreisfreie Stadt",3102.0,0.0,218.0,11.0,6.0,252.0,631.0,77.0,263.0,126.0,80.0,311.0,451.0,106.0,74.0,217.0,92.0,187.0,2008
"Pirmasens, kreisfreie Stadt",2360.0,0.0,233.0,0.0,10.0,174.0,679.0,53.0,189.0,58.0,58.0,179.0,246.0,78.0,40.0,165.0,0.0,147.0,2008
"Speyer, kreisfreie Stadt",2793.0,0.0,206.0,0.0,15.0,196.0,606.0,78.0,248.0,94.0,74.0,288.0,361.0,96.0,83.0,186.0,90.0,160.0,2008
"Worms, kreisfreie Stadt",3862.0,5.0,298.0,14.0,13.0,392.0,860.0,145.0,290.0,139.0,72.0,351.0,462.0,182.0,76.0,228.0,124.0,211.0,2008
"Zweibrücken, kreisfreie Stadt",1603.0,0.0,128.0,0.0,10.0,123.0,418.0,42.0,150.0,48.0,34.0,112.0,160.0,65.0,43.0,119.0,46.0,100.0,2008
"Alzey-Worms, Landkreis",5517.0,3.0,609.0,32.0,26.0,644.0,1178.0,190.0,388.0,204.0,115.0,424.0,626.0,285.0,167.0,244.0,114.0,268.0,2008
"Bad Dürkheim, Landkreis",6520.0,3.0,532.0,23.0,26.0,673.0,1348.0,195.0,698.0,191.0,149.0,633.0,761.0,307.0,177.0,338.0,148.0,318.0,2008
Donnersbergkreis,3066.0,3.0,330.0,46.0,17.0,346.0,634.0,148.0,274.0,78.0,64.0,189.0,319.0,135.0,101.0,188.0,57.0,137.0,2008
"Germersheim, Landkreis",5348.0,16.0,448.0,30.0,38.0,552.0,1222.0,199.0,447.0,156.0,123.0,431.0,540.0,228.0,194.0,280.0,141.0,303.0,2008
"Kaiserslautern, Landkreis",4265.0,0.0,347.0,31.0,0.0,578.0,983.0,138.0,437.0,104.0,75.0,298.0,365.0,179.0,132.0,252.0,67.0,242.0,2008
"Kusel, Landkreis",2522.0,5.0,230.0,13.0,15.0,305.0,604.0,88.0,272.0,43.0,49.0,145.0,215.0,83.0,91.0,170.0,46.0,148.0,2008
"Südliche Weinstraße, Landkreis",5318.0,0.0,564.0,42.0,0.0,559.0,1088.0,122.0,679.0,160.0,131.0,458.0,502.0,185.0,148.0,265.0,134.0,260.0,2008
Rhein-Pfalz-Kreis,6029.0,3.0,485.0,26.0,28.0,705.0,1370.0,312.0,423.0,208.0,117.0,482.0,653.0,272.0,154.0,305.0,143.0,343.0,2008
"Mainz-Bingen, Landkreis",9375.0,6.0,781.0,33.0,32.0,967.0,1722.0,285.0,726.0,466.0,205.0,810.0,1299.0,458.0,301.0,487.0,261.0,536.0,2008
"Südwestpfalz, Landkreis",3929.0,0.0,466.0,11.0,15.0,573.0,943.0,108.0,416.0,86.0,72.0,259.0,283.0,125.0,122.0,187.0,60.0,203.0,2008
"Koblenz, kreisfreie Stadt",6084.0,1.0,315.0,15.0,17.0,394.0,1239.0,256.0,497.0,244.0,177.0,589.0,840.0,322.0,168.0,474.0,165.0,371.0,2009
"Ahrweiler, Landkreis",6557.0,8.0,587.0,17.0,27.0,774.0,1279.0,210.0,680.0,194.0,116.0,590.0,694.0,318.0,168.0,356.0,185.0,354.0,2009
"Altenkirchen (Westerwald), Landkreis",5882.0,0.0,675.0,28.0,37.0,672.0,1333.0,169.0,378.0,143.0,115.0,564.0,553.0,272.0,157.0,319.0,114.0,353.0,2009
"Bad Kreuznach, Landkreis",7164.0,8.0,644.0,50.0,34.0,738.0,1525.0,227.0,592.0,215.0,151.0,555.0,804.0,330.0,223.0,463.0,166.0,439.0,2009
"Birkenfeld, Landkreis",4039.0,2.0,691.0,15.0,32.0,394.0,939.0,95.0,333.0,78.0,113.0,286.0,294.0,133.0,89.0,240.0,92.0,213.0,2009
"Cochem-Zell, Landkreis",3181.0,1.0,268.0,23.0,8.0,367.0,655.0,95.0,626.0,53.0,59.0,242.0,198.0,96.0,74.0,179.0,46.0,191.0,2009
"Mayen-Koblenz, Landkreis",9556.0,35.0,943.0,48.0,34.0,1077.0,2208.0,378.0,757.0,265.0,228.0,797.0,966.0,391.0,255.0,507.0,214.0,453.0,2009
"Neuwied, Landkreis",8951.0,10.0,893.0,21.0,30.0,1116.0,1931.0,277.0,616.0,288.0,187.0,804.0,1011.0,395.0,204.0,485.0,207.0,476.0,2009
Rhein-Hunsrück-Kreis,4951.0,4.0,449.0,44.0,22.0,625.0,1024.0,193.0,459.0,139.0,118.0,436.0,497.0,226.0,133.0,246.0,102.0,234.0,2009
Rhein-Lahn-Kreis,5546.0,5.0,514.0,26.0,23.0,597.0,1111.0,183.0,549.0,170.0,123.0,420.0,629.0,265.0,169.0,323.0,120.0,319.0,2009
Westerwaldkreis,10206.0,35.0,1176.0,66.0,39.0,1234.0,2191.0,331.0,622.0,287.0,190.0,1007.0,1109.0,471.0,300.0,481.0,172.0,495.0,2009
